"key","english","vietnamese","claude_note"
"ui.aboutLabel","About","Giới Thiệu","Reopen button label"
"ui.aboutCardText1","Emotions can be confusing, but they have their own logic... they follow ""rules."" That's what you'll get from the book <a href=""https://www.6seconds.org/emotionrules"" target=""_blank""><em>Emotion Rules, The Science and Practice of Emotional Wisdom.</em></a>","Cảm xúc có thể gây nhầm lẫn, nhưng chúng có logic riêng của mình... chúng tuân theo ""những quy tắc."" Đó là những gì bạn sẽ nhận được từ cuốn sách <a href=""https://www.6seconds.org/emotionrules"" target=""_blank""><em>Emotion Rules, The Science and Practice of Emotional Wisdom.</em></a>","Contains HTML link — book title and org name kept in English"
"ui.aboutCardText2","This Emotional Wisdom Wheel is based on the concepts in the book, and Six Seconds' methodology for helping people grow and practice emotional intelligence.","Bánh Xe Trí Tuệ Cảm Xúc này được xây dựng dựa trên các khái niệm trong cuốn sách và phương pháp luận của Six Seconds trong việc giúp mọi người phát triển và thực hành trí tuệ cảm xúc.","Six Seconds is org name — kept as-is"
"ui.oppositeFeelingLabel","Feeling Across the Wheel","Cảm Giác Đối Diện Trên Bánh Xe",""
"emotions.joy-1-optimistic.name","Optimistic","Lạc Quan",""
"emotions.joy-1-optimistic.category","Joy","Niềm Vui","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.joy-1-optimistic.description","A feeling of hopefulness and confidence about the future. When you're optimistic, you believe that good things will happen and maintain a positive outlook on life.","Cảm giác hy vọng và tự tin về tương lai. Khi bạn lạc quan, bạn tin rằng những điều tốt đẹp sẽ xảy ra và duy trì cái nhìn tích cực về cuộc sống.",""
"emotions.joy-1-optimistic.question","What possibilities do you see? What could go right in this situation?","Bạn thấy những khả năng nào? Điều gì có thể diễn ra tốt đẹp trong tình huống này?",""
"emotions.joy-1-optimistic.overloadRisk","If you over-use this feeling, you may overlook real risks or pressure others to 'stay positive' when they need something different.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể bỏ qua những rủi ro thực sự hoặc gây áp lực cho người khác phải 'giữ thái độ tích cực' khi họ cần điều khác.",""
"emotions.joy-1-optimistic.overloadTip","To balance, name one real challenge and one concrete step to prepare for it while still honoring your sense of possibility.","Để cân bằng, hãy nhận diện một thách thức thực tế và một bước cụ thể để chuẩn bị, trong khi vẫn trân trọng cảm giác về khả năng của bạn.",""
"emotions.joy-1-optimistic.adaptivePurpose","Signals that you see positive possibilities and potential good outcomes.","Báo hiệu rằng bạn thấy những khả năng tích cực và kết quả tốt đẹp tiềm năng.",""
"emotions.joy-1-optimistic.relatedFeelings","Positive | Inspired | Hopeful","Tích Cực | Được Truyền Cảm Hứng | Đầy Hy Vọng","Pipe-separated list"
"emotions.joy-1-optimistic.borderInfo","Optimistic is near Anticipation because it has a component of looking ahead.","Lạc Quan gần với Mong Đợi vì nó có yếu tố nhìn về phía trước.",""
"emotions.joy-1-optimistic.story","Maria had been job hunting for three months with no luck. On the way to yet another interview, she caught herself smiling on the subway. ""I'm going to nail this one -- I've done the hard work,"" she thought. Instead of rehearsing what could go wrong, she found herself imagining her first day at the new office. The rational part of her brain warned against getting her hopes up, but something in her gut said this time she was really ready.","Maria đã tìm việc làm trong ba tháng mà không thành công. Trên đường đến buổi phỏng vấn tiếp theo, cô bỗng nhận ra mình đang mỉm cười trên tàu điện ngầm. ""Lần này mình sẽ thành công — mình đã nỗ lực hết mình rồi,"" cô nghĩ. Thay vì lo lắng những điều có thể xảy ra sai, cô lại tưởng tượng ngày đầu tiên ở văn phòng mới. Phần lý trí trong não cô cảnh báo đừng đặt quá nhiều hy vọng, nhưng điều gì đó trong lòng cô nói rằng lần này cô đã thực sự sẵn sàng.",""
"emotions.joy-2-confident.name","Confident","Tự Tin",""
"emotions.joy-2-confident.category","Joy","Niềm Vui","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.joy-2-confident.description","A sense of self-assurance arising from appreciation of your abilities or qualities. Confidence empowers you to take action and face challenges.","Sự tự tin xuất phát từ việc trân trọng khả năng và phẩm chất của bản thân. Sự tự tin trao quyền cho bạn để hành động và đối mặt với thử thách.",""
"emotions.joy-2-confident.question","What strengths can you bring to this situation? What are you capable of doing?","Bạn có thể mang những điểm mạnh nào vào tình huống này? Bạn có khả năng làm gì?",""
"emotions.joy-2-confident.overloadRisk","If you over-use this feeling, you may overestimate your capacity or dismiss others' perspectives and needs.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể đánh giá quá cao năng lực của mình hoặc bỏ qua quan điểm và nhu cầu của người khác.",""
"emotions.joy-2-confident.overloadTip","To balance, ask yourself where you still need input or support, and invite at least one other voice into the conversation.","Để cân bằng, hãy tự hỏi mình cần thêm thông tin hoặc hỗ trợ ở đâu, và mời ít nhất một tiếng nói khác vào cuộc trò chuyện.",""
"emotions.joy-2-confident.adaptivePurpose","Signals that you have resources, abilities, or experience you can draw on.","Báo hiệu rằng bạn có nguồn lực, khả năng hoặc kinh nghiệm để dựa vào.",""
"emotions.joy-2-confident.relatedFeelings","Proud | Self-assured | Empowered","Tự Hào | Tự Đảm Bảo | Được Trao Quyền","Pipe-separated list"
"emotions.joy-2-confident.borderInfo","Confident is pure Joy energy directed inward—a recognition of your own capabilities. It sits between Optimistic (future-focused) and Joyful (present-moment pleasure).","Tự Tin là năng lượng Niềm Vui thuần túy hướng vào bên trong—sự nhận ra năng lực của chính bạn. Nó nằm giữa Lạc Quan (hướng tương lai) và Vui Mừng (niềm vui hiện tại).",""
"emotions.joy-2-confident.story","After months of preparation, James stood backstage waiting to give his first TEDx talk. His hands were steady, his breathing calm. He'd practiced this speech fifty times, knew every transition, every pause. When they called his name, he walked to center stage not with arrogance, but with quiet certainty. He had put in the work. He was ready.","Sau nhiều tháng chuẩn bị, James đứng hậu trường chờ thực hiện bài nói TEDx đầu tiên. Tay anh vững vàng, hơi thở bình thản. Anh đã luyện tập bài phát biểu này năm mươi lần, biết từng giai đoạn chuyển tiếp, từng khoảng dừng. Khi họ gọi tên anh, anh bước ra sân khấu không phải với sự kiêu ngạo, mà với sự chắc chắn trầm lặng. Anh đã nỗ lực. Anh đã sẵn sàng.",""
"emotions.joy-3-joyful.name","Joyful","Vui Mừng",""
"emotions.joy-3-joyful.category","Joy","Niềm Vui","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.joy-3-joyful.description","A feeling of great pleasure and happiness. Pure joy is an intense, positive emotion that fills you with delight and contentment.","Cảm giác vui vẻ và hạnh phúc lớn lao. Niềm vui thuần túy là cảm xúc tích cực mãnh liệt lấp đầy bạn bằng niềm hân hoan và sự hài lòng.",""
"emotions.joy-3-joyful.question","What is going well that you want to continue? What is nourishing or supportive?","Điều gì đang diễn ra tốt đẹp mà bạn muốn tiếp tục? Điều gì đang nuôi dưỡng hoặc hỗ trợ bạn?",""
"emotions.joy-3-joyful.overloadRisk","If you over-use this feeling, you may skip over problems or appear insensitive to others' pain.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể bỏ qua các vấn đề hoặc có vẻ như không nhạy cảm với nỗi đau của người khác.",""
"emotions.joy-3-joyful.overloadTip","To balance, enjoy what is good and gently scan for anything that also needs care or repair.","Để cân bằng, hãy thưởng thức những gì tốt đẹp và nhẹ nhàng quét tìm xem có điều gì còn cần được chăm sóc hoặc sửa chữa không.",""
"emotions.joy-3-joyful.adaptivePurpose","Signals that something important is working and worth savoring and continuing.","Báo hiệu rằng điều gì đó quan trọng đang hoạt động và đáng trân trọng và tiếp tục.",""
"emotions.joy-3-joyful.relatedFeelings","Ecstatic | Delighted | Blissful","Phấn Khích | Vui Thích | Hạnh Phúc Tuyệt Đỉnh","Pipe-separated list"
"emotions.joy-3-joyful.borderInfo","Joyful is the heart of Joy—pure, present-moment happiness. It sits between Confident (self-directed joy) and Loving (other-directed joy).","Vui Mừng là trái tim của Niềm Vui—hạnh phúc thuần túy ở khoảnh khắc hiện tại. Nó nằm giữa Tự Tin (niềm vui hướng vào mình) và Yêu Thương (niềm vui hướng ra ngoài).",""
"emotions.joy-3-joyful.story","The letter arrived on a Tuesday. Accepted. Full scholarship. Elena read it three times before it sank in. Then she was laughing, crying, spinning around her tiny apartment. She called her mother, her best friend, her old teacher who'd written her recommendation. Pure, unfiltered happiness—the kind that makes your face hurt from smiling.","Bức thư đến vào một ngày thứ Ba. Được nhận. Học bổng toàn phần. Elena đọc đi đọc lại ba lần trước khi hiểu ra. Rồi cô cười, khóc, xoay tròn quanh căn hộ nhỏ của mình. Cô gọi cho mẹ, người bạn thân nhất, người thầy cũ đã viết thư giới thiệu. Hạnh phúc thuần túy, không pha tạp—loại hạnh phúc khiến mặt bạn đau vì cười quá nhiều.",""
"emotions.joy-4-loving.name","Loving","Yêu Thương",""
"emotions.joy-4-loving.category","Joy","Niềm Vui","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.joy-4-loving.description","A deep feeling of affection, care, and warmth toward someone or something. Love creates connection and a sense of belonging.","Cảm giác sâu sắc về tình cảm, sự quan tâm và ấm áp đối với ai đó hoặc điều gì đó. Tình yêu tạo ra sự kết nối và cảm giác thuộc về.",""
"emotions.joy-4-loving.question","What do you appreciate about this person or situation? How can you show care and support?","Bạn trân trọng điều gì về người này hay tình huống này? Làm thế nào bạn có thể thể hiện sự quan tâm và hỗ trợ?",""
"emotions.joy-4-loving.overloadRisk","If you over-use this feeling, you may lose healthy boundaries or neglect your own needs while caring for others.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể mất đi ranh giới lành mạnh hoặc bỏ bê nhu cầu của bản thân khi chăm sóc người khác.",""
"emotions.joy-4-loving.overloadTip","To balance, name one thing you appreciate and one need of your own, and choose a step that honors both.","Để cân bằng, hãy nhận diện một điều bạn trân trọng và một nhu cầu của bản thân, rồi chọn một bước tôn vinh cả hai.",""
"emotions.joy-4-loving.adaptivePurpose","Signals a desire to connect, nurture, and invest in people or causes that matter to you.","Báo hiệu mong muốn kết nối, nuôi dưỡng và đầu tư vào những người hoặc những điều quan trọng với bạn.",""
"emotions.joy-4-loving.relatedFeelings","Embracing | Generous | Affectionate","Ôm Ấp | Rộng Lượng | Trìu Mến","Pipe-separated list"
"emotions.joy-4-loving.borderInfo","Loving is near Trust because it involves a foundation of care and reliability.","Yêu Thương gần với Tin Tưởng vì nó liên quan đến nền tảng của sự quan tâm và đáng tin cậy.",""
"emotions.joy-4-loving.story","David watched his daughter take her first wobbly steps across the living room. When she fell, she looked up at him with complete trust, waiting for his reaction before deciding whether to cry. He scooped her up, kissed her forehead, and felt his heart expand in a way he couldn't have imagined before becoming a father. This tiny person had utterly transformed him.","David nhìn con gái bé nhỏ của mình bước những bước chập chững đầu tiên qua phòng khách. Khi cô bé ngã, cô bé nhìn lên anh với sự tin tưởng hoàn toàn, chờ đợi phản ứng của anh trước khi quyết định có khóc hay không. Anh bế cô bé lên, hôn lên trán, và cảm thấy tim mình nở rộng theo cách anh không thể tưởng tượng trước khi trở thành người cha. Sinh linh bé nhỏ này đã hoàn toàn biến đổi anh.",""
"emotions.trust-1-grateful.name","Grateful","Biết Ơn",""
"emotions.trust-1-grateful.category","Trust","Tin Tưởng","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.trust-1-grateful.description","A warm feeling of thankfulness and appreciation. Gratitude helps you recognize and value the good things in your life.","Cảm giác ấm áp của sự biết ơn và trân trọng. Lòng biết ơn giúp bạn nhận ra và coi trọng những điều tốt đẹp trong cuộc sống.",""
"emotions.trust-1-grateful.question","What is supporting or nourishing you? Who or what is contributing to what you care about?","Điều gì đang hỗ trợ hoặc nuôi dưỡng bạn? Ai hoặc điều gì đang góp phần vào những gì bạn quan tâm?",""
"emotions.trust-1-grateful.overloadRisk","If you over-use this feeling, you may tolerate unhealthy situations or avoid expressing real needs because 'you should be grateful.'","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể chịu đựng những tình huống không lành mạnh hoặc tránh bày tỏ nhu cầu thực sự vì 'bạn nên biết ơn.'",""
"emotions.trust-1-grateful.overloadTip","To balance, let gratitude stand beside honesty: appreciate what is working and identify one need or boundary you still want to express.","Để cân bằng, hãy để lòng biết ơn đứng bên cạnh sự thành thật: trân trọng những gì đang hoạt động và xác định một nhu cầu hoặc ranh giới bạn vẫn muốn bày tỏ.",""
"emotions.trust-1-grateful.adaptivePurpose","Signals that you are receiving support, resources, or gifts that matter to you.","Báo hiệu rằng bạn đang nhận được sự hỗ trợ, nguồn lực hoặc những món quà quan trọng với bạn.",""
"emotions.trust-1-grateful.relatedFeelings","Fulfilled | Admiration | Thankful","Thỏa Mãn | Ngưỡng Mộ | Tri Ân","Pipe-separated list"
"emotions.trust-1-grateful.borderInfo","Grateful is near Joy because it involves appreciation for positive experiences.","Biết Ơn gần với Niềm Vui vì nó liên quan đến sự trân trọng những trải nghiệm tích cực.",""
"emotions.trust-1-grateful.story","After the surgery, lying in the recovery room, Tom found himself overwhelmed—not by pain, but by appreciation. The nurse who'd held his hand before anesthesia. His sister who'd taken time off work to be there. The surgeon whose steady hands had given him more years with his family. He'd never felt so aware of how much he depended on others, or so thankful for it.","Sau ca phẫu thuật, nằm trong phòng hồi sức, Tom thấy mình bị áp đảo—không phải bởi đau đớn, mà bởi sự trân trọng. Cô y tá đã nắm tay anh trước khi gây mê. Chị gái anh đã nghỉ việc để ở bên. Bác sĩ phẫu thuật với đôi bàn tay vững chắc đã cho anh thêm nhiều năm bên gia đình. Anh chưa bao giờ cảm thấy rõ ràng như vậy về việc mình phụ thuộc vào người khác, hay biết ơn vì điều đó đến nhường nào.",""
"emotions.trust-2-peaceful.name","Peaceful","Bình Yên",""
"emotions.trust-2-peaceful.category","Trust","Tin Tưởng","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.trust-2-peaceful.description","A state of tranquility and calm, free from worry or disturbance. Peace brings mental and emotional equilibrium.","Trạng thái thanh thản và bình lặng, thoát khỏi lo lắng hay xáo trộn. Sự bình yên mang lại sự cân bằng về tinh thần và cảm xúc.",""
"emotions.trust-2-peaceful.question","What is recharging or supporting you? What's going right?","Điều gì đang nạp lại năng lượng hoặc hỗ trợ bạn? Điều gì đang diễn ra đúng?",""
"emotions.trust-2-peaceful.overloadRisk","If you over-use this feeling, you may avoid necessary conflict or disengage from important challenges.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể tránh xung đột cần thiết hoặc tách biệt khỏi những thách thức quan trọng.",""
"emotions.trust-2-peaceful.overloadTip","To balance, enjoy the calm and ask if there is any issue that still needs a courageous conversation or small action.","Để cân bằng, hãy tận hưởng sự bình lặng và tự hỏi xem có vấn đề nào vẫn cần một cuộc trò chuyện can đảm hay hành động nhỏ nào không.",""
"emotions.trust-2-peaceful.adaptivePurpose","Signals that your system is re-centering and you feel safe enough to rest and restore.","Báo hiệu rằng hệ thống của bạn đang tái cân bằng và bạn cảm thấy đủ an toàn để nghỉ ngơi và phục hồi.",""
"emotions.trust-2-peaceful.relatedFeelings","Calm | Content | Serene","Bình Tĩnh | Hài Lòng | Thanh Thản","Pipe-separated list"
"emotions.trust-2-peaceful.borderInfo","Peaceful is the calm center of Trust—a state of equilibrium and safety. It sits between Grateful (appreciating what is) and Accepted (belonging with others).","Bình Yên là trung tâm bình lặng của Tin Tưởng—trạng thái cân bằng và an toàn. Nó nằm giữa Biết Ơn (trân trọng những gì hiện có) và Được Chấp Nhận (thuộc về người khác).",""
"emotions.trust-2-peaceful.story","Sunday morning. Rain against the windows. No alarms, no obligations, nowhere to be. Sarah curled up with her coffee and a book she'd been meaning to read for months. The apartment was quiet except for her cat purring on the cushion beside her. For the first time in weeks, her mind wasn't racing through to-do lists. She was simply... here.","Sáng Chủ Nhật. Mưa gõ lên cửa sổ. Không có đồng hồ báo thức, không có nghĩa vụ, không cần đi đâu. Sarah cuộn mình lại với ly cà phê và cuốn sách mà cô định đọc từ nhiều tháng nay. Căn hộ im lặng chỉ có tiếng mèo nằm purring trên đệm bên cạnh. Lần đầu tiên trong nhiều tuần, tâm trí cô không chạy qua danh sách công việc. Cô chỉ đơn giản là... ở đây.",""
"emotions.trust-3-accepted.name","Accepted","Được Chấp Nhận",""
"emotions.trust-3-accepted.category","Trust","Tin Tưởng","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.trust-3-accepted.description","A feeling of being welcomed and valued for who you are. Acceptance creates a sense of belonging and security.","Cảm giác được chào đón và coi trọng vì con người thật của bạn. Sự chấp nhận tạo ra cảm giác thuộc về và an toàn.",""
"emotions.trust-3-accepted.question","Where do you feel you belong? Who accepts and values you as you are?","Bạn cảm thấy mình thuộc về đâu? Ai chấp nhận và coi trọng bạn như bạn vốn có?",""
"emotions.trust-3-accepted.overloadRisk","If you over-use this feeling, you may over-conform, hiding parts of yourself to keep belonging.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể quá tuân thủ, ẩn giấu những phần của bản thân để tiếp tục thuộc về.",""
"emotions.trust-3-accepted.overloadTip","To balance, notice where you feel safe enough to be more authentic, and share one more honest piece of yourself.","Để cân bằng, hãy chú ý đến nơi bạn cảm thấy đủ an toàn để trở nên xác thực hơn, và chia sẻ một phần thành thật hơn về bản thân.",""
"emotions.trust-3-accepted.adaptivePurpose","Signals that you feel seen, valued, and included in a group or relationship.","Báo hiệu rằng bạn cảm thấy được nhìn nhận, coi trọng và hòa nhập vào một nhóm hoặc mối quan hệ.",""
"emotions.trust-3-accepted.relatedFeelings","Valued | Respected | Welcomed","Được Coi Trọng | Được Tôn Trọng | Được Chào Đón","Pipe-separated list"
"emotions.trust-3-accepted.borderInfo","Accepted is Trust expressed through belonging—the security of being seen and included. It sits between Peaceful (inner calm) and Hopeful (trusting the future).","Được Chấp Nhận là Tin Tưởng biểu hiện qua sự thuộc về—sự an toàn của việc được nhìn nhận và hòa nhập. Nó nằm giữa Bình Yên (sự bình lặng nội tâm) và Đầy Hy Vọng (tin tưởng vào tương lai).",""
"emotions.trust-3-accepted.story","Coming out to his parents had been terrifying. Miguel had prepared for arguments, disappointment, maybe even rejection. Instead, his mother had pulled him into a hug and whispered, ""I know, mijo. I've known for a while."" His father had simply said, ""You're still you. Nothing changes that."" Years of fear dissolved in that moment of unconditional acceptance.","Việc công khai với bố mẹ thật đáng sợ. Miguel đã chuẩn bị tinh thần cho những tranh luận, sự thất vọng, thậm chí có thể bị từ chối. Thay vào đó, mẹ anh kéo anh vào ôm và thì thầm, ""Mẹ biết rồi, con trai. Mẹ đã biết từ lâu."" Cha anh chỉ nói, ""Con vẫn là con. Không có gì thay đổi điều đó."" Những năm sợ hãi tan biến trong khoảnh khắc chấp nhận vô điều kiện đó.",""
"emotions.trust-4-hopeful.name","Hopeful","Đầy Hy Vọng",""
"emotions.trust-4-hopeful.category","Trust","Tin Tưởng","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.trust-4-hopeful.description","A feeling of expectation and desire for positive outcomes. Hope motivates you to keep moving forward even in difficult times.","Cảm giác kỳ vọng và mong muốn kết quả tích cực. Hy vọng thúc đẩy bạn tiếp tục tiến về phía trước ngay cả trong những thời điểm khó khăn.",""
"emotions.trust-4-hopeful.question","What are you hoping for? What positive outcome do you envision?","Bạn đang hy vọng điều gì? Bạn hình dung ra kết quả tích cực nào?",""
"emotions.trust-4-hopeful.overloadRisk","If you over-use this feeling, you may wait passively for change or cling to unrealistic expectations.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể chờ đợi thụ động sự thay đổi hoặc bám víu vào những kỳ vọng không thực tế.",""
"emotions.trust-4-hopeful.overloadTip","To balance, translate one part of your hope into a specific, doable step you can take now.","Để cân bằng, hãy chuyển một phần hy vọng của bạn thành một bước cụ thể, có thể thực hiện ngay bây giờ.",""
"emotions.trust-4-hopeful.adaptivePurpose","Signals that you can imagine a better future and feel drawn toward it.","Báo hiệu rằng bạn có thể hình dung một tương lai tốt đẹp hơn và cảm thấy bị thu hút về phía nó.",""
"emotions.trust-4-hopeful.relatedFeelings","Longing | Expectant | Optimistic","Khao Khát | Chờ Mong | Lạc Quan","Pipe-separated list"
"emotions.trust-4-hopeful.borderInfo","Hopeful is near Fear because it involves uncertainty about the future.","Đầy Hy Vọng gần với Sợ Hãi vì nó liên quan đến sự không chắc chắn về tương lai.",""
"emotions.trust-4-hopeful.story","The cancer was in remission. Dr. Chen had used careful language—""cautiously optimistic,"" ""good indicators""—but walking out of the oncology center, Rachel felt something she hadn't allowed herself to feel in eighteen months: hope. Not certainty, not denial, but genuine hope. The future, which had seemed so closed off, suddenly had doors again.","Ung thư đã thuyên giảm. Bác sĩ Chen dùng ngôn ngữ cẩn thận—""thận trọng lạc quan,"" ""dấu hiệu tốt""—nhưng khi bước ra khỏi trung tâm ung thư học, Rachel cảm thấy điều gì đó mà cô đã không cho phép mình cảm nhận trong mười tám tháng: hy vọng. Không phải sự chắc chắn, không phải sự phủ nhận, mà là hy vọng thực sự. Tương lai, vốn dường như đã đóng lại, đột nhiên lại có những cánh cửa mở ra.",""
"emotions.fear-1-nervous.name","Nervous","Hồi Hộp",""
"emotions.fear-1-nervous.category","Fear","Sợ Hãi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.fear-1-nervous.description","A state of unease or apprehension about something uncertain. Nervousness is a natural response to situations that feel challenging or unfamiliar.","Trạng thái bất an hoặc lo lắng về điều gì đó không chắc chắn. Sự hồi hộp là phản ứng tự nhiên đối với những tình huống cảm thấy thách thức hoặc xa lạ.",""
"emotions.fear-1-nervous.question","What is creating risk? What feels unpredictable or out of control?","Điều gì đang tạo ra rủi ro? Điều gì cảm thấy không thể đoán trước hoặc ngoài tầm kiểm soát?",""
"emotions.fear-1-nervous.overloadRisk","If you over-use this feeling, you may see danger everywhere, overthink, or become paralyzed by what-if scenarios.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể thấy nguy hiểm ở khắp nơi, suy nghĩ quá nhiều, hoặc bị tê liệt bởi những tình huống giả định.",""
"emotions.fear-1-nervous.overloadTip","To balance, name one specific risk you are concerned about and one small action you can take to prepare or test your assumptions.","Để cân bằng, hãy nhận diện một rủi ro cụ thể bạn lo ngại và một hành động nhỏ bạn có thể thực hiện để chuẩn bị hoặc kiểm tra các giả định của mình.",""
"emotions.fear-1-nervous.adaptivePurpose","Signals that something feels uncertain or risky and may need caution or preparation.","Báo hiệu rằng điều gì đó cảm thấy không chắc chắn hoặc rủi ro và có thể cần thận trọng hoặc chuẩn bị.",""
"emotions.fear-1-nervous.relatedFeelings","Threatened | Uneasy | Jittery","Bị Đe Dọa | Bất An | Bồn Chồn","Pipe-separated list"
"emotions.fear-1-nervous.borderInfo","Nervous is near Trust because it involves vulnerability and the need for safety.","Hồi Hộp gần với Tin Tưởng vì nó liên quan đến sự dễ bị tổn thương và nhu cầu an toàn.",""
"emotions.fear-1-nervous.story","First day at the new school. Aisha stood outside the classroom door, hearing laughter and conversation inside. What if no one talked to her? What if she couldn't find the cafeteria? What if she said something stupid? Her stomach churned. She took a breath, reminded herself she'd survived new situations before, and pushed open the door.","Ngày đầu tiên ở trường mới. Aisha đứng trước cửa lớp học, nghe thấy tiếng cười và trò chuyện bên trong. Nếu không ai nói chuyện với cô thì sao? Nếu cô không tìm được căng-tin thì sao? Nếu cô nói điều gì đó ngớ ngẩn thì sao? Bụng cô quặn thắt. Cô hít một hơi, tự nhắc mình đã vượt qua những tình huống mới trước đây, và đẩy cửa bước vào.",""
"emotions.fear-2-scared.name","Scared","Hoảng Sợ",""
"emotions.fear-2-scared.category","Fear","Sợ Hãi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.fear-2-scared.description","An intense feeling of fear or alarm. Being scared is your body's way of alerting you to potential danger.","Cảm giác sợ hãi hoặc báo động mãnh liệt. Sự hoảng sợ là cách cơ thể cảnh báo bạn về nguy hiểm tiềm ẩn.",""
"emotions.fear-2-scared.question","What or who do you care about that's at risk? What danger or harm are you sensing?","Ai hoặc điều gì bạn quan tâm đang bị đe dọa? Bạn đang cảm nhận nguy hiểm hay mối hại nào?",""
