"key","english","chinese","claude_note"
"emotions.joy-1-optimistic.overloadTip","To balance, name one real challenge and one concrete step to prepare for it while still honoring your sense of possibility.","为了保持平衡，说出一个真实的挑战和一个具体的准备步骤，同时保持你对可能性的感知。",""
"emotions.joy-1-optimistic.adaptivePurpose","Signals that you see positive possibilities and potential good outcomes.","表明你看到了积极的可能性和潜在的好结果。",""
"emotions.joy-1-optimistic.relatedFeelings[0]","Positive","积极","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-1-optimistic.relatedFeelings[1]","Inspired","受启发","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-1-optimistic.relatedFeelings[2]","Hopeful","充满希望","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-1-optimistic.borderInfo","Optimistic is near Anticipation because it has a component of looking ahead.","乐观靠近期待，因为它包含了展望未来的成分。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.joy-1-optimistic.story","Maria had been job hunting for three months with no luck. On the way to yet another interview, she caught herself smiling on the subway. ""I'm going to nail this one -- I've done the hard work,"" she thought. Instead of rehearsing what could go wrong, she found herself imagining her first day at the new office. The rational part of her brain warned against getting her hopes up, but something in her gut said this time she was really ready.","Maria找了三个月的工作，一直没有运气。在去又一次面试的路上，她发现自己在地铁上微笑。这次我一定能行——我已经做了充分的准备，""她想。她不再排练可能出错的事情，而是想象自己在新办公室的第一天。她理性的大脑警告她不要抱太大希望，但内心深处有个声音告诉她，这次她真的准备好了。""","Narrative vignette; character names (Maria, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.joy-2-confident.name","Confident","自信","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.joy-2-confident.category","Joy","快乐","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-2-confident.description","A sense of self-assurance arising from appreciation of your abilities or qualities. Confidence empowers you to take action and face challenges.","源自对自身能力或品质的肯定而产生的自我确信感。自信赋予你行动的力量，帮助你面对挑战。",""
"emotions.joy-2-confident.question","What strengths can you bring to this situation? What are you capable of doing?","你能为这种情况带来什么优势？你有能力做什么？",""
"emotions.joy-2-confident.overloadRisk","If you over-use this feeling, you may overestimate your capacity or dismiss others' perspectives and needs.","如果过度使用这种情绪，你可能会高估自己的能力，或忽视他人的观点和需求。",""
"emotions.joy-2-confident.overloadTip","To balance, ask yourself where you still need input or support, and invite at least one other voice into the conversation.","为了保持平衡，问问自己在哪些方面仍需要意见或支持，并邀请至少一个其他声音加入对话。",""
"emotions.joy-2-confident.adaptivePurpose","Signals that you have resources, abilities, or experience you can draw on.","表明你拥有可以依靠的资源、能力或经验。",""
"emotions.joy-2-confident.relatedFeelings[0]","Proud","自豪","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-2-confident.relatedFeelings[1]","Self-assured","自我确信","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-2-confident.relatedFeelings[2]","Empowered","有力量","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-2-confident.story","After months of preparation, James stood backstage waiting to give his first TEDx talk. His hands were steady, his breathing calm. He'd practiced this speech fifty times, knew every transition, every pause. When they called his name, he walked to center stage not with arrogance, but with quiet certainty. He had put in the work. He was ready.","经过数月的准备，James站在后台等待他的第一次TEDx演讲。他的手很稳，呼吸平静。这个演讲他练习了五十遍，知道每一个过渡、每一个停顿。当他们叫到他的名字时，他走向舞台中央，带着的不是傲慢，而是安静的确定。他付出了努力，他准备好了。","Narrative vignette; character names (James, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.joy-2-confident.borderInfo","Confident is pure Joy energy directed inward—a recognition of your own capabilities. It sits between Optimistic (future-focused) and Joyful (present-moment pleasure).","“自信”是纯粹的快乐能量向内指向——对自身能力的认可。它位于“乐观”（面向未来）和“喜悦”（当下的愉悦）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.joy-3-joyful.name","Joyful","喜悦","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.joy-3-joyful.category","Joy","快乐","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-3-joyful.description","A feeling of great pleasure and happiness. Pure joy is an intense, positive emotion that fills you with delight and contentment.","极大的愉悦和幸福感。纯粹的喜悦是一种强烈的积极情绪，让你充满欣喜和满足。",""
"emotions.joy-3-joyful.question","What is going well that you want to continue? What is nourishing or supportive?","什么进展顺利，你希望继续？什么在滋养或支持着你？",""
"emotions.joy-3-joyful.overloadRisk","If you over-use this feeling, you may skip over problems or appear insensitive to others' pain.","如果过度使用这种情绪，你可能会跳过问题或对他人的痛苦显得不够敏感。",""
"emotions.joy-3-joyful.overloadTip","To balance, enjoy what is good and gently scan for anything that also needs care or repair.","为了保持平衡，享受美好的事物，同时轻轻审视是否还有什么需要关注或修复。",""
"emotions.joy-3-joyful.adaptivePurpose","Signals that something important is working and worth savoring and continuing.","表明某些重要的事情正在顺利运行，值得珍惜和延续。",""
"emotions.joy-3-joyful.relatedFeelings[0]","Ecstatic","狂喜","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-3-joyful.relatedFeelings[1]","Delighted","欣喜","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-3-joyful.relatedFeelings[2]","Blissful","极乐","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-3-joyful.story","The letter arrived on a Tuesday. Accepted. Full scholarship. Elena read it three times before it sank in. Then she was laughing, crying, spinning around her tiny apartment. She called her mother, her best friend, her old teacher who'd written her recommendation. Pure, unfiltered happiness—the kind that makes your face hurt from smiling.","那封信在周二到达。录取了。全额奖学金。Elena读了三遍才反应过来。然后她大笑、流泪，在小公寓里转圈。她打电话给妈妈、最好的朋友、写推荐信的老师。纯粹的、毫无保留的快乐——那种让脸笑得发疼的快乐。","Narrative vignette; character names (Elena, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.joy-3-joyful.borderInfo","Joyful is the heart of Joy—pure, present-moment happiness. It sits between Confident (self-directed joy) and Loving (other-directed joy).","“喜悦”是快乐的核心——纯粹的、当下的幸福。它位于“自信”（指向自我的快乐）和“爱意”（指向他人的快乐）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.joy-4-loving.name","Loving","爱意","Emotion name; nuanced term -- ""爱意"" conveys warm affection; could also be ""充满爱"". Verify it captures the active, warm quality of the English."
"emotions.joy-4-loving.category","Joy","快乐","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-4-loving.description","A deep feeling of affection, care, and warmth toward someone or something. Love creates connection and a sense of belonging.","对某人或某事深沉的情感、关怀和温暖。爱创造了连接和归属感。",""
"emotions.joy-4-loving.question","What do you appreciate about this person or situation? How can you show care and support?","你欣赏这个人或这种情况的什么？你如何表达关心和支持？",""
"emotions.joy-4-loving.overloadRisk","If you over-use this feeling, you may lose healthy boundaries or neglect your own needs while caring for others.","如果过度使用这种情绪，你可能会失去健康的边界感，或在关心他人的同时忽视自己的需求。",""
"emotions.joy-4-loving.overloadTip","To balance, name one thing you appreciate and one need of your own, and choose a step that honors both.","为了保持平衡，说出一件你感激的事和一个你自己的需求，然后选择一个同时尊重两者的步骤。",""
"emotions.joy-4-loving.adaptivePurpose","Signals a desire to connect, nurture, and invest in people or causes that matter to you.","表明你渴望与对你重要的人或事业建立连接、给予滋养和投入。",""
"emotions.joy-4-loving.relatedFeelings[0]","Embracing","拥抱","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-4-loving.relatedFeelings[1]","Generous","慷慨","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-4-loving.relatedFeelings[2]","Affectionate","深情","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.joy-4-loving.borderInfo","Loving is near Trust because it involves a foundation of care and reliability.","爱意靠近信任，因为它建立在关怀和可靠的基础之上。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.joy-4-loving.story","David watched his daughter take her first wobbly steps across the living room. When she fell, she looked up at him with complete trust, waiting for his reaction before deciding whether to cry. He scooped her up, kissed her forehead, and felt his heart expand in a way he couldn't have imagined before becoming a father. This tiny person had utterly transformed him.","David看着女儿在客厅里摇摇晃晃地迈出第一步。当她摔倒时，她抬头看着他，带着完全的信任，等待他的反应来决定是否要哭。他把她抱起来，亲吻她的额头，感到心以一种他在成为父亲之前无法想象的方式扩展开来。这个小小的人彻底改变了他。","Narrative vignette; character names (David, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.trust-1-grateful.name","Grateful","感恩","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.trust-1-grateful.category","Trust","信任","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-1-grateful.description","A warm feeling of thankfulness and appreciation. Gratitude helps you recognize and value the good things in your life.","一种温暖的感恩和感激之情。感恩帮助你认识和珍视生活中美好的事物。",""
"emotions.trust-1-grateful.question","What is supporting or nourishing you? Who or what is contributing to what you care about?","什么在支持或滋养着你？谁或什么在为你所关心的事情做贡献？",""
"emotions.trust-1-grateful.overloadRisk","If you over-use this feeling, you may tolerate unhealthy situations or avoid expressing real needs because 'you should be grateful.'","如果过度使用这种情绪，你可能会容忍不健康的状况，或因为觉得应该感恩""而避免表达真实的需求。""",""
"emotions.trust-1-grateful.overloadTip","To balance, let gratitude stand beside honesty: appreciate what is working and identify one need or boundary you still want to express.","为了保持平衡，让感恩与诚实并存：感激正在运作的部分，同时说出一个你仍想表达的需求或边界。",""
"emotions.trust-1-grateful.adaptivePurpose","Signals that you are receiving support, resources, or gifts that matter to you.","表明你正在接收对你重要的支持、资源或馈赠。",""
"emotions.trust-1-grateful.relatedFeelings[0]","Fulfilled","满足","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-1-grateful.relatedFeelings[1]","Admiration","钦佩","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-1-grateful.relatedFeelings[2]","Thankful","感激","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-1-grateful.borderInfo","Grateful is near Joy because it involves appreciation for positive experiences.","感恩靠近快乐，因为它涉及对积极体验的感激。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.trust-1-grateful.story","After the surgery, lying in the recovery room, Tom found himself overwhelmed—not by pain, but by appreciation. The nurse who'd held his hand before anesthesia. His sister who'd taken time off work to be there. The surgeon whose steady hands had given him more years with his family. He'd never felt so aware of how much he depended on others, or so thankful for it.","手术后，躺在恢复室里，Tom被一种情绪淹没——不是疼痛，而是感激。麻醉前握着他手的护士，请假来陪伴他的姐姐，那双稳定的手让他能多陪伴家人几年的外科医生。他从未如此清楚地意识到自己多么依赖他人，也从未如此感激。","Narrative vignette; character names (Tom, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.trust-2-peaceful.name","Peaceful","平静","Emotion name; nuanced term -- ""平静"" is good; could also be ""宁静"" or ""安详"". Verify the nuance matches."
"emotions.trust-2-peaceful.category","Trust","信任","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-2-peaceful.description","A state of tranquility and calm, free from worry or disturbance. Peace brings mental and emotional equilibrium.","一种宁静和安详的状态，没有忧虑或干扰。平静带来心理和情感的平衡。",""
"emotions.trust-2-peaceful.question","What is recharging or supporting you? What's going right?","什么在为你充电或给予支持？什么进展顺利？",""
"emotions.trust-2-peaceful.overloadRisk","If you over-use this feeling, you may avoid necessary conflict or disengage from important challenges.","如果过度使用这种情绪，你可能会回避必要的冲突或脱离重要的挑战。",""
"emotions.trust-2-peaceful.overloadTip","To balance, enjoy the calm and ask if there is any issue that still needs a courageous conversation or small action.","为了保持平衡，享受平静的同时问问自己是否还有什么问题需要一次勇敢的对话或小小的行动。",""
"emotions.trust-2-peaceful.adaptivePurpose","Signals that your system is re-centering and you feel safe enough to rest and restore.","表明你的身心系统正在重新调整，你感到足够安全，可以休息和恢复。",""
"emotions.trust-2-peaceful.relatedFeelings[0]","Calm","安宁","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-2-peaceful.relatedFeelings[1]","Content","满意","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-2-peaceful.relatedFeelings[2]","Serene","安详","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-2-peaceful.story","Sunday morning. Rain against the windows. No alarms, no obligations, nowhere to be. Sarah curled up with her coffee and a book she'd been meaning to read for months. The apartment was quiet except for her cat purring on the cushion beside her. For the first time in weeks, her mind wasn't racing through to-do lists. She was simply... here.","周日早晨。窗外下着雨。没有闹钟，没有义务，哪儿都不用去。Sarah蜷缩着喝咖啡，看一本她想读了好几个月的书。公寓里只有身旁垫子上猫咪的呼噜声。几周来第一次，她的脑海不再翻涌着待办清单。她只是……在这里。","Narrative vignette; character names (Sarah, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.trust-2-peaceful.borderInfo","Peaceful is the calm center of Trust—a state of equilibrium and safety. It sits between Grateful (appreciating what is) and Accepted (belonging with others).","“平静”是信任的宁静中心——一种平衡和安全的状态。它位于“感恩”（感激当下所拥有的）和“被接纳”（与他人的归属感）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.trust-3-accepted.name","Accepted","被接纳","Emotion name; nuanced term -- ""被接纳"" captures the passive/received quality well."
"emotions.trust-3-accepted.category","Trust","信任","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-3-accepted.description","A feeling of being welcomed and valued for who you are. Acceptance creates a sense of belonging and security.","一种被欢迎和珍视自我的感觉。被接纳创造了归属感和安全感。",""
"emotions.trust-3-accepted.question","Where do you feel you belong? Who accepts and values you as you are?","你在哪里感到归属？谁接受并珍视真实的你？",""
"emotions.trust-3-accepted.overloadRisk","If you over-use this feeling, you may over-conform, hiding parts of yourself to keep belonging.","如果过度使用这种情绪，你可能会过度迎合他人，隐藏自己的部分以维持归属感。",""
"emotions.trust-3-accepted.overloadTip","To balance, notice where you feel safe enough to be more authentic, and share one more honest piece of yourself.","为了保持平衡，注意你在哪里感到足够安全，可以更加真实地展现自己，然后多分享一份真诚。",""
"emotions.trust-3-accepted.adaptivePurpose","Signals that you feel seen, valued, and included in a group or relationship.","表明你感到被看见、被重视和被包容在一个群体或关系中。",""
"emotions.trust-3-accepted.relatedFeelings[0]","Valued","被重视","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-3-accepted.relatedFeelings[1]","Respected","被尊重","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-3-accepted.relatedFeelings[2]","Welcomed","受欢迎","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-3-accepted.story","Coming out to his parents had been terrifying. Miguel had prepared for arguments, disappointment, maybe even rejection. Instead, his mother had pulled him into a hug and whispered, ""I know, mijo. I've known for a while."" His father had simply said, ""You're still you. Nothing changes that."" Years of fear dissolved in that moment of unconditional acceptance.","向父母出柜是一件令人恐惧的事。Miguel为争论、失望、甚至拒绝做好了准备。但他的母亲把他拉入怀中，低声说：我知道，mijo。我早就知道了。""他的父亲只是说：""你还是你。什么都不会改变。""多年的恐惧在那一刻无条件的接纳中消融了。""","Narrative vignette; character names (Miguel, etc.) and Spanish terms (mijo) should stay in original form. Tone should be natural and literary."
"emotions.trust-3-accepted.borderInfo","Accepted is Trust expressed through belonging—the security of being seen and included. It sits between Peaceful (inner calm) and Hopeful (trusting the future).","“被接纳”是通过归属感表达的信任——被看见和被包容的安全感。它位于“平静”（内心的宁静）和“充满希望”（对未来的信任）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.trust-4-hopeful.name","Hopeful","充满希望","Emotion name; nuanced term -- ""充满希望"" is longer than most; could also be ""希望"" for brevity."
"emotions.trust-4-hopeful.category","Trust","信任","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-4-hopeful.description","A feeling of expectation and desire for positive outcomes. Hope motivates you to keep moving forward even in difficult times.","对积极结果怀有期待和渴望的感觉。希望激励你即使在困难时期也继续前行。",""
"emotions.trust-4-hopeful.question","What are you hoping for? What positive outcome do you envision?","你在期盼什么？你设想的积极结果是什么？",""
"emotions.trust-4-hopeful.overloadRisk","If you over-use this feeling, you may wait passively for change or cling to unrealistic expectations.","如果过度使用这种情绪，你可能会被动地等待改变或执着于不切实际的期望。",""
"emotions.trust-4-hopeful.overloadTip","To balance, translate one part of your hope into a specific, doable step you can take now.","为了保持平衡，把希望的一部分转化为一个具体的、可行的步骤，现在就去做。",""
"emotions.trust-4-hopeful.adaptivePurpose","Signals that you can imagine a better future and feel drawn toward it.","表明你能够想象一个更好的未来，并被它所吸引。",""
"emotions.trust-4-hopeful.relatedFeelings[0]","Longing","渴望","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-4-hopeful.relatedFeelings[1]","Expectant","期盼","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-4-hopeful.relatedFeelings[2]","Optimistic","乐观","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.trust-4-hopeful.borderInfo","Hopeful is near Fear because it involves uncertainty about the future.","充满希望靠近恐惧，因为它涉及对未来的不确定性。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.trust-4-hopeful.story","The cancer was in remission. Dr. Chen had used careful language—""cautiously optimistic,"" ""good indicators""—but walking out of the oncology center, Rachel felt something she hadn't allowed herself to feel in eighteen months: hope. Not certainty, not denial, but genuine hope. The future, which had seemed so closed off, suddenly had doors again.","癌症已经缓解了。陈医生用了谨慎的措辞——谨慎乐观""""指标良好""——但走出肿瘤中心时，Rachel感受到了十八个月来她不敢允许自己感受的东西：希望。不是确定，不是否认，而是真正的希望。那个似乎已经关闭的未来，突然又有了一扇扇门。""","Narrative vignette; character names (Rachel, Dr. Chen) should stay in original form. Note: Dr. Chen is already localized to 陈医生 which is fine. Tone should be natural and literary."
"emotions.fear-1-nervous.name","Nervous","紧张","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.fear-1-nervous.category","Fear","恐惧","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-1-nervous.description","A state of unease or apprehension about something uncertain. Nervousness is a natural response to situations that feel challenging or unfamiliar.","对不确定事物的不安或忧虑状态。紧张是面对挑战性或不熟悉情境时的自然反应。",""
"emotions.fear-1-nervous.question","What is creating risk? What feels unpredictable or out of control?","什么在制造风险？什么让你感到不可预测或失控？",""
"emotions.fear-1-nervous.overloadRisk","If you over-use this feeling, you may see danger everywhere, overthink, or become paralyzed by what-if scenarios.","如果过度使用这种情绪，你可能处处看到危险、过度思考，或被各种假设情境所麻痹。",""
"emotions.fear-1-nervous.overloadTip","To balance, name one specific risk you are concerned about and one small action you can take to prepare or test your assumptions.","为了保持平衡，说出一个你担心的具体风险和一个你可以采取的小行动来准备或验证你的假设。",""
"emotions.fear-1-nervous.adaptivePurpose","Signals that something feels uncertain or risky and may need caution or preparation.","表明某些事情感觉不确定或有风险，可能需要谨慎或准备。",""
"emotions.fear-1-nervous.relatedFeelings[0]","Threatened","受威胁","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-1-nervous.relatedFeelings[1]","Uneasy","不安","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-1-nervous.relatedFeelings[2]","Jittery","忐忑","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-1-nervous.borderInfo","Nervous is near Trust because it involves vulnerability and the need for safety.","紧张靠近信任，因为它涉及脆弱性和对安全感的需要。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.fear-1-nervous.story","First day at the new school. Aisha stood outside the classroom door, hearing laughter and conversation inside. What if no one talked to her? What if she couldn't find the cafeteria? What if she said something stupid? Her stomach churned. She took a breath, reminded herself she'd survived new situations before, and pushed open the door.","新学校的第一天。Aisha站在教室门外，听着里面的笑声和交谈。如果没人和她说话怎么办？如果她找不到食堂怎么办？如果她说了傻话怎么办？她的胃在翻搅。她深吸一口气，提醒自己以前也经历过新环境，然后推开了门。","Narrative vignette; character names (Aisha, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.fear-2-scared.name","Scared","害怕","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.fear-2-scared.category","Fear","恐惧","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-2-scared.description","An intense feeling of fear or alarm. Being scared is your body's way of alerting you to potential danger.","一种强烈的恐惧或警觉感。害怕是身体提醒你注意潜在危险的方式。",""
"emotions.fear-2-scared.question","What or who do you care about that's at risk? What danger or harm are you sensing?","你关心的什么人或事正处于危险之中？你感知到了什么危险或伤害？",""
"emotions.fear-2-scared.overloadRisk","If you over-use this feeling, you may withdraw from what matters most or avoid important steps because they feel too scary.","如果过度使用这种情绪，你可能会退缩于最重要的事情，或因为感觉太可怕而回避重要的步骤。",""
"emotions.fear-2-scared.overloadTip","To balance, clarify what you most want to protect and choose one action that increases safety while still honoring what you care about.","为了保持平衡，明确你最想保护的是什么，并选择一个在增加安全感的同时仍然尊重你所关心事物的行动。",""
"emotions.fear-2-scared.adaptivePurpose","Signals that something you care about feels threatened and needs protection or attention.","表明你关心的某些东西感到受威胁，需要保护或关注。",""
"emotions.fear-2-scared.relatedFeelings[0]","Frightened","惊恐","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-2-scared.relatedFeelings[1]","Terrified","恐惧","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.fear-2-scared.relatedFeelings[2]","Alarmed","警觉","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
