id,family,feeling,quote_index,quote_text,speaker,work
disgust-2-avoidance,Disgust,Avoidance,1,"Get it away from me!","Indiana Jones","Indiana Jones and the Temple of Doom"
disgust-2-avoidance,Disgust,Avoidance,2,"Nope, not today.",,"Brooklyn Nine-Nine"
disgust-2-avoidance,Disgust,Avoidance,3,"I’m not touching that.",,"Finding Nemo"
disgust-3-awful,Disgust,Awful,1,"This is awful.","Bilbo Baggins","The Hobbit"
disgust-3-awful,Disgust,Awful,2,"That’s the worst thing I’ve ever tasted!","Remy","Ratatouille"
disgust-3-awful,Disgust,Awful,3,"What fresh hell is this?","Dorothy Parker",
disgust-4-disapproval,Disgust,Disapproval,1,"I’m disappointed in you.","Mufasa","The Lion King"
disgust-4-disapproval,Disgust,Disapproval,2,"You should not have done that.","Gandalf","The Lord of the Rings: The Fellowship of the Ring"
disgust-4-disapproval,Disgust,Disapproval,3,"I expected better.","Steve Rogers","Marvel Cinematic Universe"
sad-1-hurt,Sadness,Hurt,1,"You hurt me.","Elizabeth Bennet","Pride and Prejudice"
sad-1-hurt,Sadness,Hurt,2,"The wound is the place where the light enters you.","Rumi",
sad-1-hurt,Sadness,Hurt,3,"The heart was made to be broken.","Oscar Wilde",
sad-2-depressed,Sadness,Depressed,1,"I feel so blue.","Billie Holiday","Am I Blue?"
sad-2-depressed,Sadness,Depressed,2,"Every night I lie in bed, the brightest colors fill my head… but I can’t shake this feeling.",,"The Greatest Showman"
sad-2-depressed,Sadness,Depressed,3,"Hello darkness, my old friend.","Simon & Garfunkel","The Sound of Silence"
sad-3-lonely,Sadness,Lonely,1,"All by myself… don’t want to be all by myself anymore.","Celine Dion","All By Myself"
sad-3-lonely,Sadness,Lonely,2,"Eleanor Rigby… lives in a dream.","The Beatles","Eleanor Rigby"
sad-3-lonely,Sadness,Lonely,3,"I’ve never felt so alone.","Harry Potter","Harry Potter and the Order of the Phoenix"
sad-4-ashamed,Sadness,Ashamed,1,"I’m ashamed of what I’ve done.","Jean Valjean","Les Misérables"
sad-4-ashamed,Sadness,Ashamed,2,"Shame is an unhappy emotion invented by pietists in order to exploit the human race.","William Blake","The Marriage of Heaven and Hell"
sad-4-ashamed,Sadness,Ashamed,3,"I’m not proud of myself.","Bruce Wayne","Batman Begins"
surprise-1-startled,Surprise,Startled,1,"You startled me!","Elizabeth Bennet","Pride and Prejudice"
surprise-1-startled,Surprise,Startled,2,"Great Scott!","Doc Brown","Back to the Future"
surprise-1-startled,Surprise,Startled,3,"What was that?","Bilbo Baggins","The Hobbit"
surprise-2-confused,Surprise,Confused,1,"I don’t understand.","Alice","Alice’s Adventures in Wonderland"
surprise-2-confused,Surprise,Confused,2,"Toto, I’ve a feeling we’re not in Kansas anymore.","Dorothy","The Wizard of Oz"
surprise-2-confused,Surprise,Confused,3,"It’s all a bit of a blur.","Bridget Jones","Bridget Jones’s Diary"
surprise-3-amazed,Surprise,Amazed,1,"This is incredible.",,"Jurassic Park"
surprise-3-amazed,Surprise,Amazed,2,"It’s full of stars.","Dave Bowman","2001: A Space Odyssey"
surprise-3-amazed,Surprise,Amazed,3,"I can’t believe my eyes!",,"The Lion King"
surprise-4-disappointed,Surprise,Disappointed,1,"I’m disappointed in you.","Atticus Finch","To Kill a Mockingbird"
surprise-4-disappointed,Surprise,Disappointed,2,"You were supposed to be the chosen one!","Obi-Wan Kenobi","Star Wars: Episode III – Revenge of the Sith"
surprise-4-disappointed,Surprise,Disappointed,3,"This is not what I hoped for.","Frodo Baggins","The Lord of the Rings"
trust-1-grateful,Trust,Grateful,1,"Thank you, thank you very much.","Elvis Presley",
trust-1-grateful,Trust,Grateful,2,"I’ve got sunshine on a cloudy day.","The Temptations","My Girl"
trust-1-grateful,Trust,Grateful,3,"These are a few of my favorite things.",,"The Sound of Music"
trust-2-peaceful,Trust,Peaceful,1,"I feel at peace.","Samwise Gamgee","The Lord of the Rings"
trust-2-peaceful,Trust,Peaceful,2,"Let it be.","The Beatles","Let It Be"
trust-2-peaceful,Trust,Peaceful,3,"Be still, and know…",,"Psalm 46:10"
trust-3-accepted,Trust,Accepted,1,"You have been my friend. That in itself is a tremendous thing.","Charlotte","Charlotte’s Web"
trust-3-accepted,Trust,Accepted,2,"You belong with me.","Taylor Swift","You Belong With Me"
trust-3-accepted,Trust,Accepted,3,"Come as you are.","Kurt Cobain","Come As You Are"
trust-4-hopeful,Trust,Hopeful,1,"Hope is a good thing, maybe the best of things.","Andy Dufresne","The Shawshank Redemption"
trust-4-hopeful,Trust,Hopeful,2,"There’s a sunrise every morning that you’re missing.",,"Dear Evan Hansen"
trust-4-hopeful,Trust,Hopeful,3,"Even the darkest night will end and the sun will rise.",,"Les Misérables"
fear-1-nervous,Fear,Nervous,1,"I’ve got a bad feeling about this.","Han Solo","Star Wars"
fear-1-nervous,Fear,Nervous,2,"My hands are shaking.",,"The Hunger Games"
fear-1-nervous,Fear,Nervous,3,"Courage is not the absence of fear.","Nelson Mandela",
fear-2-scared,Fear,Scared,1,"I’m scared.","Coraline","Coraline"
fear-2-scared,Fear,Scared,2,"They’re here…","Carol Anne","Poltergeist"
fear-2-scared,Fear,Scared,3,"Please don’t let this be real.",,"Stranger Things"
fear-3-anxious,Fear,Anxious,1,"I can’t calm down.",,"Inside Out"
fear-3-anxious,Fear,Anxious,2,"I’m worried about everything.",,"Harry Potter and the Deathly Hallows"
fear-3-anxious,Fear,Anxious,3,"Something is wrong… I can feel it.","Frodo Baggins","The Lord of the Rings"
fear-4-insecure,Fear,Insecure,1,"I don’t feel good enough.",,"The Perks of Being a Wallflower"
fear-4-insecure,Fear,Insecure,2,"You think I’m not good enough.",,"Lady Bird"
fear-4-insecure,Fear,Insecure,3,"Am I strong enough?",,"Mulan"
