order,id,name,category,question,overloadRisk,overloadTip,adaptivePurpose,oppositeId
11.0,fear-3-anxious,Anxious,Fear,What general threats or big uncertainties are present? What do you need to prepare for or protect against?,"If you over-use this feeling, you may ruminate, catastrophize, or create imagined problems that drain your energy.","To balance, sort your worries into “things I can influence” and “things I cannot,” then choose one small step on something you can influence.",Signals that you are scanning for long-term threats or uncertainties that may need planning or protection.,anger-3-frustrated
12.0,fear-4-insecure,Insecure,Fear,What makes you doubt yourself? What do you fear others might think or see?,"If you over-use this feeling, you may constantly seek validation, people-please, or hold back your contributions.","To balance, remember concrete evidence of your strengths and seek grounded feedback from someone you trust, not just imagined criticism.","Signals that your sense of worth, competence, or acceptance feels shaky and you may need reassurance, learning, or boundaries.",anger-4-critical
13.0,surprise-1-startled,Startled,Surprise,What sudden change or signal needs your attention right now?,"If you over-use this feeling, you may remain jumpy or hyper-alert, treating everything as an emergency.","To balance, pause to look, breathe, and check what is actually happening now versus what you feared might be happening.",Signals that something unexpected just happened and your attention needs to orient quickly.,anticipation-1-excited
14.0,surprise-2-confused,Confused,Surprise,What information is missing or unclear? What would help you make sense of this?,"If you over-use this feeling, you may get stuck in doubt, delay decisions, or question everything about yourself and others.","To balance, turn confusion into a question: define one thing you want to understand and seek an answer, experiment, or conversation.",Signals that your current understanding does not fit the facts and you may need new information or perspective.,anticipation-2-eager
15.0,surprise-3-amazed,Amazed,Surprise,What exceeded your expectations? What possibility does this open?,"If you over-use this feeling, you may idealize people or situations and miss real limits or risks.","To balance, name what delights you and also one practical step or boundary that keeps you grounded while you explore this new possibility.","Signals that something is far better, bigger, or more beautiful than you expected and your sense of possibility is expanding.",anticipation-3-interested
16.0,surprise-4-disappointed,Disappointed,Surprise,What expectation wasn’t met? What matters to you about this outcome?,"If you over-use this feeling, you may slide into cynicism, giving up on future efforts or relationships.","To balance, name the expectation clearly, then decide whether to revise the goal, your strategy, or the timeline—and choose one next action.",Signals that reality did not match your hopes and something you cared about feels diminished or lost.,anticipation-4-stressed
17.0,sad-1-hurt,Hurt,Sadness,What value or relationship was impacted? What healing or repair would help?,"If you over-use this feeling, you may hold onto grudges, assume bad intentions, or close yourself off from repair.","To balance, acknowledge the pain and why it matters, then consider whether and how you want to communicate it or seek healing support.","Signals that something or someone important has wounded your sense of safety, worth, or connection.",joy-1-optimistic
18.0,sad-2-depressed,Depressed,Sadness,"What feels depleted or hopeless? What small source of care, support, or meaning can you reconnect with?","If you over-use this feeling, you may stop seeing any possibility, withdraw completely, or neglect basic self-care.","To balance, choose one tiny, compassionate action—such as reaching out, moving your body, or doing one simple task—that adds a bit of structure or support.","Signals that your energy, motivation, or sense of meaning has dropped and you may need rest, support, or reorientation.",joy-2-confident
19.0,sad-3-lonely,Lonely,Sadness,What connection do you need right now? Who could help you feel more seen or supported?,"If you over-use this feeling, you may believe you are fundamentally alone or unlovable and pull back even more.","To balance, identify one small, safe way to reach toward connection—a message, a call, a shared space, or naming your need to someone you trust.","Signals that your need for connection, belonging, or being seen is not being met.",joy-3-joyful
20.0,sad-4-ashamed,Ashamed,Sadness,What standard are you holding yourself to? What self-compassion or repair would support growth?,"If you over-use this feeling, you may turn a specific mistake into a belief that you are bad or unworthy and hide your true self.","To balance, separate “I did something” from “I am something,” and choose one step of learning, repair, or apology that aligns with your values.","Signals that your behavior or choices may not match your values and invites reflection, repair, and growth.",joy-4-loving
21.0,disgust-1-dislike,Dislike,Disgust,What feels misaligned with your values or preferences? What boundary or choice does this reveal?,"If you over-use this feeling, you may slide into harsh judgment, bias, or rejection of people or ideas too quickly.","To balance, name specifically what you dislike—behavior, style, or impact—without condemning the whole person or situation, and decide what boundary is actually needed.","Signals that something does not fit your tastes, needs, or values and you may want distance or a different choice.",trust-1-grateful
22.0,disgust-2-avoidance,Avoidance,Disgust,"What feels unsafe, overwhelming, or draining? How can you approach it with more support or clarity?","If you over-use this feeling, you may delay important actions, stay stuck, or let problems quietly grow.","To balance, break the avoided task or situation into one very small step and consider what support, information, or boundary would make it more manageable.","Signals that something seems too threatening, overwhelming, or unpleasant to face with your current resources.",trust-2-peaceful
23.0,disgust-3-aweful,Awful,Disgust,What feels harmful or unacceptable? What standard or value is signaling a need for change?,"If you over-use this feeling, you may catastrophize, feel hopeless about change, or respond with only outrage instead of strategy.","To balance, clarify what exactly is harmful, then choose one realistic action—personal, relational, or systemic—that moves even slightly toward repair.","Signals that something feels deeply wrong, harmful, or out of integrity with your core values.",trust-3-accepted
24.0,disgust-4-disapproval,Disapproval,Disgust,"What expectation wasn’t met? What value is prompting this reaction, and what change do you hope for?","If you over-use this feeling, you may become rigid, overly critical, or alienating to others.","To balance, connect to the value underneath your disapproval and express it in a way that invites dialogue and improvement, not shame.",Signals that a behavior or outcome does not meet your standards or values and that you care about doing better.,trust-4-hopeful
25.0,anger-1-aggressive,Aggressive,Anger,What boundary needs to be protected? What matters enough that you feel compelled to act?,"If you over-use this feeling, you may lash out in ways that harm others, escalate conflict, or undermine your own goals.","To balance, pause before acting, use the energy to choose clear and firm words or actions, and focus on the outcome you truly want.","Signals that you perceive a serious threat, injustice, or violation and feel a strong drive to defend or protect.",fear-1-nervous
26.0,anger-2-mad,Mad,Anger,What value or expectation was violated? What do you need to express or repair?,"If you over-use this feeling, you may hold grudges, replay the story, or attack rather than seek resolution.","To balance, name specifically what was not okay and decide whether you want to set a boundary, ask for change, or consciously let it go.",Signals that something feels unfair or not okay and that you want change or acknowledgment.,fear-2-scared
27.0,anger-3-frustrated,Frustrated,Anger,What’s getting in the way of your goal? What shift—internal or external—would help you move forward?,"If you over-use this feeling, you may give up, blame others, or push people too hard.","To balance, step back to clarify your goal, then choose one different approach, request, or boundary that could unlock movement.","Signals that your effort is blocked and you want progress, efficiency, or a different result.",fear-3-anxious
28.0,anger-4-critical,Critical,Anger,What improvement do you see is needed? What outcome are you trying to protect or enhance?,"If you over-use this feeling, you may default to fault-finding, discourage others, or block creativity and experimentation.","To balance, acknowledge at least one thing that is working before naming concerns, and frame your critique as a contribution to shared improvement.","Signals that you notice risks, errors, or potential improvements and care about quality or integrity.",fear-4-insecure
29.0,anticipation-1-excited,Excited,Anticipation,What opportunity is energizing you? How can you channel this energy into intentional action?,"If you over-use this feeling, you may overcommit, rush ahead without planning, or burn out.","To balance, match your energy with a realistic plan and pacing, and choose one clear next step instead of trying to do everything at once.",Signals that you feel energized by a possibility and are ready to engage with it.,surprise-1-startled
30.0,anticipation-2-eager,Eager,Anticipation,What do you want to move toward? What first step would move you in that direction?,"If you over-use this feeling, you may ignore red flags, skip reflection, or say yes too often.","To balance, pause to ask what information, boundaries, or preparation you need before you move, then take a thoughtful first step.",Signals that you feel ready to pursue something and want to move quickly toward it.,surprise-2-confused
31.0,anticipation-3-interested,Interested,Anticipation,What is drawing your attention? What feels worth exploring or understanding more deeply?,"If you over-use this feeling, you may scatter your focus, start many things, and finish few.","To balance, consciously choose one focus area for now and capture other interests on a list for later, so you can explore with intention.",Signals that your curiosity is activated and you see potential value in learning or exploring.,surprise-3-amazed
32.0,anticipation-4-stressed,Stressed,Anticipation,"What pressures need attention? Where do you need relief, support, or clearer boundaries?","If you over-use this feeling, you may run in crisis mode, make reactive decisions, or exhaust yourself.","To balance, identify one demand you can reduce, delegate, or delay and one brief practice that helps restore your energy or clarity.",Signals that demands feel greater than your current resources and something needs to change.,surprise-4-disappointed
