"key","english","korean","claude_note"
"emotions.joy-3-joyful.adaptivePurpose","Signals that something important is working and worth savoring and continuing.","중요한 무언가가 잘 작동하고 있으며 음미하고 계속할 가치가 있다는 신호입니다.",""
"emotions.joy-3-joyful.relatedFeelings","Ecstatic, Delighted, Blissful","황홀한, 기쁨에 넘치는, 더없이 행복한","Comma-separated list of related feelings"
"emotions.joy-3-joyful.story","The letter arrived on a Tuesday. Accepted. Full scholarship. Elena read it three times before it sank in. Then she was laughing, crying, spinning around her tiny apartment. She called her mother, her best friend, her old teacher who'd written her recommendation. Pure, unfiltered happiness—the kind that makes your face hurt from smiling.","편지가 화요일에 도착했습니다. 합격. 전액 장학금. 엘레나는 세 번이나 읽고 나서야 실감이 났습니다. 그러고는 웃고, 울고, 작은 아파트에서 빙글빙글 돌았습니다. 어머니에게, 가장 친한 친구에게, 추천서를 써준 옛 선생님에게 전화를 걸었습니다. 순수하고 걸러지지 않은 행복 -- 얼굴이 아플 정도로 미소 짓게 하는 그런 행복이었습니다.",""
"emotions.joy-3-joyful.borderInfo","Joyful is the heart of Joy—pure, present-moment happiness. It sits between Confident (self-directed joy) and Loving (other-directed joy).","“기쁜” 느낌은 기쁨의 핵심—순수하고 현재 순간의 행복입니다. “자신감 있는”(자기 자신을 향한 기쁨)과 “사랑하는”(타인을 향한 기쁨) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.joy-4-loving.name","Loving","사랑하는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.joy-4-loving.category","Joy","기쁨","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Joy emotions must use identical category string."
"emotions.joy-4-loving.description","A deep feeling of affection, care, and warmth toward someone or something. Love creates connection and a sense of belonging.","누군가 또는 무언가에 대한 깊은 애정, 배려, 따뜻함의 느낌입니다. 사랑은 연결과 소속감을 만들어 줍니다.",""
"emotions.joy-4-loving.question","What do you appreciate about this person or situation? How can you show care and support?","이 사람이나 상황에서 무엇을 감사하게 여기나요? 어떻게 배려와 지원을 보여줄 수 있나요?",""
"emotions.joy-4-loving.overloadRisk","If you over-use this feeling, you may lose healthy boundaries or neglect your own needs while caring for others.","이 느낌을 과도하게 사용하면 건강한 경계를 잃거나 다른 사람을 돌보면서 자신의 필요를 소홀히 할 수 있습니다.",""
"emotions.joy-4-loving.overloadTip","To balance, name one thing you appreciate and one need of your own, and choose a step that honors both.","균형을 위해, 감사하는 한 가지와 자신의 필요 한 가지를 말하고, 둘 다를 존중하는 단계를 선택하세요.",""
"emotions.joy-4-loving.adaptivePurpose","Signals a desire to connect, nurture, and invest in people or causes that matter to you.","당신에게 중요한 사람이나 대의에 연결하고, 양육하고, 투자하고 싶은 욕구를 나타내는 신호입니다.",""
"emotions.joy-4-loving.relatedFeelings","Embracing, Generous, Affectionate","포용하는, 너그러운, 다정한","Comma-separated list of related feelings"
"emotions.joy-4-loving.borderInfo","Loving is near Trust because it involves a foundation of care and reliability.","사랑하는 느낌은 배려와 신뢰의 기반을 포함하므로 신뢰 영역에 가깝습니다.",""
"emotions.joy-4-loving.story","David watched his daughter take her first wobbly steps across the living room. When she fell, she looked up at him with complete trust, waiting for his reaction before deciding whether to cry. He scooped her up, kissed her forehead, and felt his heart expand in a way he couldn't have imagined before becoming a father. This tiny person had utterly transformed him.","데이비드는 딸이 거실을 가로질러 첫 비틀거리는 걸음을 떼는 것을 지켜보았습니다. 넘어졌을 때 딸은 울어야 할지 결정하기 전에 완전한 신뢰를 담아 그를 올려다보았습니다. 그는 딸을 안아 들어 이마에 입을 맞추고, 아버지가 되기 전에는 상상할 수 없었던 방식으로 마음이 넓어지는 것을 느꼈습니다. 이 작은 존재가 그를 완전히 변화시켰습니다.",""
"emotions.trust-1-grateful.name","Grateful","감사하는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.trust-1-grateful.category","Trust","신뢰","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-1-grateful.description","A warm feeling of thankfulness and appreciation. Gratitude helps you recognize and value the good things in your life.","고마움과 감사의 따뜻한 느낌입니다. 감사는 삶에서 좋은 것들을 인식하고 가치 있게 여기는 데 도움을 줍니다.",""
"emotions.trust-1-grateful.question","What is supporting or nourishing you? Who or what is contributing to what you care about?","무엇이 당신을 지탱하거나 자양분을 주고 있나요? 누가 또는 무엇이 당신이 소중히 여기는 것에 기여하고 있나요?",""
"emotions.trust-1-grateful.overloadRisk","If you over-use this feeling, you may tolerate unhealthy situations or avoid expressing real needs because 'you should be grateful.'","이 느낌을 과도하게 사용하면 '감사해야 하니까'라는 이유로 건강하지 못한 상황을 용인하거나 진정한 필요를 표현하는 것을 피할 수 있습니다.",""
"emotions.trust-1-grateful.overloadTip","To balance, let gratitude stand beside honesty: appreciate what is working and identify one need or boundary you still want to express.","균형을 위해, 감사가 정직함과 함께하도록 하세요: 잘 작동하는 것을 감사히 여기면서 아직 표현하고 싶은 필요나 경계 하나를 찾아보세요.",""
"emotions.trust-1-grateful.adaptivePurpose","Signals that you are receiving support, resources, or gifts that matter to you.","당신에게 중요한 지원, 자원 또는 선물을 받고 있다는 신호입니다.",""
"emotions.trust-1-grateful.relatedFeelings","Fulfilled, Admiration, Thankful","성취감 있는, 경탄하는, 고마운","Comma-separated list of related feelings"
"emotions.trust-1-grateful.borderInfo","Grateful is near Joy because it involves appreciation for positive experiences.","감사하는 느낌은 긍정적 경험에 대한 감사를 포함하므로 기쁨 영역에 가깝습니다.",""
"emotions.trust-1-grateful.story","After the surgery, lying in the recovery room, Tom found himself overwhelmed—not by pain, but by appreciation. The nurse who'd held his hand before anesthesia. His sister who'd taken time off work to be there. The surgeon whose steady hands had given him more years with his family. He'd never felt so aware of how much he depended on others, or so thankful for it.","수술 후 회복실에 누워 있을 때 톰은 압도당했습니다 -- 고통이 아니라 감사로. 마취 전에 손을 잡아준 간호사. 일을 쉬고 함께해 준 여동생. 가족과 더 많은 시간을 함께할 수 있게 해준 외과 의사의 안정된 손. 그는 자신이 다른 사람들에게 얼마나 의존하고 있는지, 또 그것에 대해 얼마나 감사한지 이렇게까지 인식한 적이 없었습니다.",""
"emotions.trust-2-peaceful.name","Peaceful","평화로운","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.trust-2-peaceful.category","Trust","신뢰","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-2-peaceful.description","A state of tranquility and calm, free from worry or disturbance. Peace brings mental and emotional equilibrium.","걱정이나 방해 없이 평온하고 차분한 상태입니다. 평화는 정신적, 감정적 균형을 가져다줍니다.",""
"emotions.trust-2-peaceful.question","What is recharging or supporting you? What's going right?","무엇이 당신에게 활력을 주거나 당신을 지탱하고 있나요? 무엇이 잘 되고 있나요?",""
"emotions.trust-2-peaceful.overloadRisk","If you over-use this feeling, you may avoid necessary conflict or disengage from important challenges.","이 느낌을 과도하게 사용하면 필요한 갈등을 피하거나 중요한 도전에서 물러날 수 있습니다.",""
"emotions.trust-2-peaceful.overloadTip","To balance, enjoy the calm and ask if there is any issue that still needs a courageous conversation or small action.","균형을 위해, 차분함을 즐기면서 아직 용기 있는 대화나 작은 행동이 필요한 문제가 있는지 물어보세요.",""
"emotions.trust-2-peaceful.adaptivePurpose","Signals that your system is re-centering and you feel safe enough to rest and restore.","당신의 시스템이 중심을 재정립하고 있으며, 쉬고 회복할 수 있을 만큼 안전하다고 느끼고 있다는 신호입니다.",""
"emotions.trust-2-peaceful.relatedFeelings","Calm, Content, Serene","차분한, 만족스러운, 고요한","Comma-separated list of related feelings"
"emotions.trust-2-peaceful.story","Sunday morning. Rain against the windows. No alarms, no obligations, nowhere to be. Sarah curled up with her coffee and a book she'd been meaning to read for months. The apartment was quiet except for her cat purring on the cushion beside her. For the first time in weeks, her mind wasn't racing through to-do lists. She was simply... here.","일요일 아침. 창문에 부딪히는 빗소리. 알람도, 의무도, 갈 곳도 없습니다. 사라는 커피 한 잔과 몇 달째 읽으려고 했던 책을 들고 웅크렸습니다. 아파트는 옆 쿠션 위에서 그르릉거리는 고양이 소리만 빼고는 조용했습니다. 몇 주 만에 처음으로 그녀의 마음은 할 일 목록을 뒤적이지 않았습니다. 그저 단순히 이 순간에 있었습니다.",""
"emotions.trust-2-peaceful.borderInfo","Peaceful is the calm center of Trust—a state of equilibrium and safety. It sits between Grateful (appreciating what is) and Accepted (belonging with others).","“평화로운” 느낌은 신뢰의 고요한 중심—균형과 안전의 상태입니다. “감사하는”(현재를 감사히 여기는)과 “수용받는”(타인과의 소속감) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.trust-3-accepted.name","Accepted","수용받는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.trust-3-accepted.category","Trust","신뢰","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-3-accepted.description","A feeling of being welcomed and valued for who you are. Acceptance creates a sense of belonging and security.","있는 그대로의 자신이 환영받고 가치 있게 여겨지는 느낌입니다. 수용은 소속감과 안정감을 만들어 줍니다.",""
"emotions.trust-3-accepted.question","Where do you feel you belong? Who accepts and values you as you are?","어디에서 소속감을 느끼나요? 누가 있는 그대로의 당신을 받아들이고 가치 있게 여기나요?",""
"emotions.trust-3-accepted.overloadRisk","If you over-use this feeling, you may over-conform, hiding parts of yourself to keep belonging.","이 느낌을 과도하게 사용하면 소속감을 유지하기 위해 지나치게 순응하며 자신의 일부를 숨길 수 있습니다.",""
"emotions.trust-3-accepted.overloadTip","To balance, notice where you feel safe enough to be more authentic, and share one more honest piece of yourself.","균형을 위해, 더 진정한 자신이 될 수 있을 만큼 안전하다고 느끼는 곳을 찾고, 자신에 대해 한 가지 더 솔직한 부분을 나눠 보세요.",""
"emotions.trust-3-accepted.adaptivePurpose","Signals that you feel seen, valued, and included in a group or relationship.","자신이 보이고, 가치 있게 여겨지고, 집단이나 관계에 포함되어 있다고 느끼는 신호입니다.",""
"emotions.trust-3-accepted.relatedFeelings","Valued, Respected, Welcomed","가치 있는, 존중받는, 환영받는","Comma-separated list of related feelings"
"emotions.trust-3-accepted.story","Coming out to his parents had been terrifying. Miguel had prepared for arguments, disappointment, maybe even rejection. Instead, his mother had pulled him into a hug and whispered, ""I know, mijo. I've known for a while."" His father had simply said, ""You're still you. Nothing changes that."" Years of fear dissolved in that moment of unconditional acceptance.","부모님께 커밍아웃하는 것은 무서운 일이었습니다. 미구엘은 논쟁, 실망, 어쩌면 거부까지 대비했었습니다. 대신 어머니가 그를 끌어안고 속삭였습니다. '알고 있어, 아들아. 한동안 알고 있었어.' 아버지는 간단히 말했습니다. '넌 여전히 너야. 아무것도 변하지 않아.' 수년간의 두려움이 그 무조건적인 수용의 순간에 녹아내렸습니다.",""
"emotions.trust-3-accepted.borderInfo","Accepted is Trust expressed through belonging—the security of being seen and included. It sits between Peaceful (inner calm) and Hopeful (trusting the future).","“수용받는” 느낌은 소속감을 통해 표현되는 신뢰—보이고 포함되는 안전감입니다. “평화로운”(내면의 평온)과 “희망찬”(미래에 대한 신뢰) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.trust-4-hopeful.name","Hopeful","희망찬","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.trust-4-hopeful.category","Trust","신뢰","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Trust emotions must use identical category string."
"emotions.trust-4-hopeful.description","A feeling of expectation and desire for positive outcomes. Hope motivates you to keep moving forward even in difficult times.","긍정적인 결과에 대한 기대와 바람의 느낌입니다. 희망은 어려운 시기에도 계속 앞으로 나아가도록 동기를 부여합니다.",""
"emotions.trust-4-hopeful.question","What are you hoping for? What positive outcome do you envision?","무엇을 희망하고 있나요? 어떤 긍정적인 결과를 그려보고 있나요?",""
"emotions.trust-4-hopeful.overloadRisk","If you over-use this feeling, you may wait passively for change or cling to unrealistic expectations.","이 느낌을 과도하게 사용하면 변화를 수동적으로 기다리거나 비현실적인 기대에 매달릴 수 있습니다.",""
"emotions.trust-4-hopeful.overloadTip","To balance, translate one part of your hope into a specific, doable step you can take now.","균형을 위해, 희망의 일부를 지금 실행할 수 있는 구체적이고 실현 가능한 단계로 전환하세요.",""
"emotions.trust-4-hopeful.adaptivePurpose","Signals that you can imagine a better future and feel drawn toward it.","더 나은 미래를 상상할 수 있으며 그것에 이끌리고 있다는 신호입니다.",""
"emotions.trust-4-hopeful.relatedFeelings","Longing, Expectant, Optimistic","그리워하는, 기대하는, 낙관적인","Comma-separated list of related feelings"
"emotions.trust-4-hopeful.borderInfo","Hopeful is near Fear because it involves uncertainty about the future.","희망찬 느낌은 미래에 대한 불확실성을 포함하므로 두려움 영역에 가깝습니다.",""
"emotions.trust-4-hopeful.story","The cancer was in remission. Dr. Chen had used careful language—""cautiously optimistic,"" ""good indicators""—but walking out of the oncology center, Rachel felt something she hadn't allowed herself to feel in eighteen months: hope. Not certainty, not denial, but genuine hope. The future, which had seemed so closed off, suddenly had doors again.","암이 관해에 들어갔습니다. 첸 박사는 조심스러운 표현을 사용했습니다 -- '조심스럽게 낙관적,' '좋은 지표들.' 하지만 종양센터를 나서면서 레이첼은 18개월 동안 허락하지 않았던 감정을 느꼈습니다: 희망. 확신도 아니고 부정도 아닌, 진정한 희망이었습니다. 닫혀 있는 것 같았던 미래에 갑자기 문이 다시 생겼습니다.",""
"emotions.fear-1-nervous.name","Nervous","긴장된","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.fear-1-nervous.category","Fear","두려움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-1-nervous.description","A state of unease or apprehension about something uncertain. Nervousness is a natural response to situations that feel challenging or unfamiliar.","불확실한 무언가에 대한 불안이나 우려의 상태입니다. 긴장은 도전적이거나 낯선 상황에 대한 자연스러운 반응입니다.",""
"emotions.fear-1-nervous.question","What is creating risk? What feels unpredictable or out of control?","무엇이 위험을 만들고 있나요? 무엇이 예측 불가능하거나 통제할 수 없다고 느껴지나요?",""
"emotions.fear-1-nervous.overloadRisk","If you over-use this feeling, you may see danger everywhere, overthink, or become paralyzed by what-if scenarios.","이 느낌을 과도하게 사용하면 어디서나 위험을 보고, 과도하게 생각하거나, '만약에' 시나리오에 의해 마비될 수 있습니다.",""
"emotions.fear-1-nervous.overloadTip","To balance, name one specific risk you are concerned about and one small action you can take to prepare or test your assumptions.","균형을 위해, 걱정되는 구체적인 위험 하나와 가정을 준비하거나 확인하기 위해 취할 수 있는 작은 행동 하나를 이야기하세요.",""
"emotions.fear-1-nervous.adaptivePurpose","Signals that something feels uncertain or risky and may need caution or preparation.","무언가가 불확실하거나 위험하게 느껴지며 주의나 준비가 필요할 수 있다는 신호입니다.",""
"emotions.fear-1-nervous.relatedFeelings","Threatened, Uneasy, Jittery","위협받는, 불안한, 초조한","Comma-separated list of related feelings"
"emotions.fear-1-nervous.borderInfo","Nervous is near Trust because it involves vulnerability and the need for safety.","긴장된 느낌은 취약성과 안전에 대한 필요를 포함하므로 신뢰 영역에 가깝습니다.",""
"emotions.fear-1-nervous.story","First day at the new school. Aisha stood outside the classroom door, hearing laughter and conversation inside. What if no one talked to her? What if she couldn't find the cafeteria? What if she said something stupid? Her stomach churned. She took a breath, reminded herself she'd survived new situations before, and pushed open the door.","새 학교에서의 첫날. 아이샤는 교실 문 밖에 서서 안에서 들려오는 웃음소리와 대화를 듣고 있었습니다. 아무도 말을 걸어주지 않으면? 식당을 못 찾으면? 바보 같은 말을 하면? 속이 뒤틀렸습니다. 한 번 깊이 숨을 쉬고, 전에도 새로운 상황에서 살아남았다는 것을 스스로에게 상기시키며 문을 밀고 들어갔습니다.",""
"emotions.fear-2-scared.name","Scared","무서운","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.fear-2-scared.category","Fear","두려움","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Fear emotions must use identical category string."
"emotions.fear-2-scared.description","An intense feeling of fear or alarm. Being scared is your body's way of alerting you to potential danger.","강렬한 공포나 경계의 느낌입니다. 무서움을 느끼는 것은 잠재적 위험에 대해 몸이 경고하는 방식입니다.",""
"emotions.fear-2-scared.question","What or who do you care about that's at risk? What danger or harm are you sensing?","당신이 소중히 여기는 무엇 또는 누가 위험에 처해 있나요? 어떤 위험이나 해로움을 감지하고 있나요?",""
"emotions.fear-2-scared.overloadRisk","If you over-use this feeling, you may withdraw from what matters most or avoid important steps because they feel too scary.","이 느낌을 과도하게 사용하면 가장 중요한 것에서 물러나거나 너무 무섭다는 이유로 중요한 단계를 피할 수 있습니다.",""
"emotions.fear-2-scared.overloadTip","To balance, clarify what you most want to protect and choose one action that increases safety while still honoring what you care about.","균형을 위해, 가장 보호하고 싶은 것을 명확히 하고, 소중히 여기는 것을 존중하면서 안전을 높이는 행동 하나를 선택하세요.",""
"emotions.fear-2-scared.adaptivePurpose","Signals that something you care about feels threatened and needs protection or attention.","당신이 소중히 여기는 무언가가 위협받고 있으며 보호나 주의가 필요하다는 신호입니다.",""
